time,duration,source_computer,source_port,destination_computer,destination_port,protocol,packet_count,byte_count
820248,64,C21745,N4431,C5736,2049,6,267,291860
820248,64,C5736,2049,C21745,N4431,6,163,20348
820248,7,C1685,N732,C1878,N137,6,6,2978
820249,0,C12574,N20227,C5721,445,6,9,1258
820249,0,C14122,N14075,C706,80,6,8,2811
820249,0,C14122,N14086,C706,80,6,8,2811
820249,0,C14122,N14718,C231,80,6,8,2811
820249,0,C1554,N15122,C3873,80,6,4,958
820249,0,C16245,N13083,C1973,80,6,7,1690
820249,0,C16245,N13152,C1973,80,6,7,1699
820249,0,C16245,N13231,C1973,80,6,7,1699
820249,0,C16245,N7808,C1973,80,6,7,1690
820249,0,C1685,N732,C15158,N1024,6,1,52
820249,0,C1685,N732,C25129,N15123,6,4,445
820249,0,C1973,80,C16245,N13083,6,5,452
820249,0,C1973,80,C16245,N13231,6,5,452
820249,0,C1973,80,C16245,N7808,6,5,452
820249,0,C1973,80,C7558,N12550,6,5,452
820249,0,C1973,80,C7558,N12551,6,5,452
820249,0,C1973,80,C7558,N13762,6,5,452
820249,0,C1973,80,C7558,N3040,6,5,452
820249,0,C2035,N3993,C22032,445,6,1,52
820249,0,C20971,137,C4174,137,17,1,78
820249,0,C20971,137,C4920,137,17,1,78
820249,0,C22032,445,C2035,N3993,6,1,46
820249,0,C231,80,C14122,N14718,6,5,2148
820249,0,C231,80,C8163,N150,6,6,2226
820249,0,C231,80,C8163,N3554,6,6,2226
820249,0,C231,80,C8163,N6771,6,6,2226
820249,0,C231,80,C8163,N815,6,6,2226
820249,0,C231,80,C8163,N817,6,6,2226
820249,0,C231,80,C8163,N823,6,6,2226
820249,0,C231,80,C8163,N826,6,6,2226
820249,0,C231,80,C8163,N960,6,6,2226
820249,0,C231,80,C8163,N973,6,6,2226
820249,0,C231,80,C9804,N11767,6,6,2226
820249,0,C231,80,C9804,N11865,6,6,2226
820249,0,C231,80,C9804,N12062,6,6,2226
820249,0,C231,80,C9804,N13211,6,6,2226
820249,0,C231,80,C9804,N3695,6,6,2226
820249,0,C231,80,C9804,N987,6,6,2226
820249,0,C25129,N15123,C1685,N732,6,7,974
820249,0,C3173,N1738,C6955,N1390,6,11,1500
820249,0,C3173,N1738,C6955,N598,6,69,60404
820249,0,C3198,N13642,C612,389,6,10,3457
820249,0,C3198,N18205,C612,389,6,12,3894
820249,0,C3198,N18556,C586,389,6,14,4082
820249,0,C366,445,C868,N4724,6,1,46
820249,0,C3873,80,C1554,N15122,6,2,304
820249,0,C3873,80,C7400,N12048,6,2,92
820249,0,C4174,137,C20971,137,17,1,84
820249,0,C4920,137,C20971,137,17,1,84
820249,0,C5154,N12115,C586,389,6,10,2744
820249,0,C5154,N13232,C586,389,6,10,2744
820249,0,C5154,N19461,C586,389,6,10,2744
820249,0,C5154,N6498,C586,389,6,10,2744
820249,0,C5154,N718,C586,389,6,12,3181
820249,0,C528,389,C26606,N10343,6,8,1855
820249,0,C528,389,C26606,N38,6,10,4245
820249,0,C586,389,C3198,N18556,6,11,5641
820249,0,C586,389,C3198,N18556,6,12,6981
820249,0,C586,389,C5154,N13232,6,8,1789
820249,0,C586,389,C5154,N19461,6,8,1779
820249,0,C586,389,C5154,N6498,6,8,1779
820249,0,C586,389,C5154,N718,6,10,4175
820249,0,C586,389,C5154,N718,6,8,2221
820249,0,C612,389,C3198,N13642,6,8,1855
820249,0,C612,389,C3198,N18205,6,10,4241
820249,0,C612,389,C3198,N18205,6,9,3245
820249,0,C706,80,C14122,N14075,6,5,2148
820249,0,C706,80,C14122,N14086,6,5,2148
820249,0,C706,80,C7115,N8258,6,5,561
820249,0,C706,80,C8163,N1078,6,6,2226
820249,0,C706,80,C8163,N3402,6,6,2226
820249,0,C706,80,C8163,N820,6,6,2226
820249,0,C706,80,C8163,N827,6,6,2226
820249,0,C706,80,C8163,N958,6,8,2771
820249,0,C706,80,C8163,N967,6,6,2226
820249,0,C706,80,C8163,N968,6,6,2226
820249,0,C706,80,C8163,N974,6,6,2226
820249,0,C706,80,C8163,N977,6,6,2226
820249,0,C706,80,C9804,N1021,6,6,2226
820249,0,C706,80,C9804,N13136,6,27,16424
820249,0,C706,80,C9804,N13213,6,11,6723
820249,0,C706,80,C9900,N5069,6,4,515
820249,0,C7400,N12048,C3873,80,6,2,92
820249,0,C7558,N12550,C1973,80,6,7,1719
820249,0,C7558,N12551,C1973,80,6,7,1728
820249,0,C7558,N13762,C1973,80,6,7,1719
820249,0,C7558,N3040,C1973,80,6,7,1728
820249,0,C8163,N1078,C706,80,6,9,3199
820249,0,C8163,N150,C231,80,6,9,3199
820249,0,C8163,N3402,C706,80,6,9,3199
820249,0,C8163,N3554,C231,80,6,9,3199
820249,0,C8163,N6771,C231,80,6,9,3199
820249,0,C8163,N815,C231,80,6,9,3199
820249,0,C8163,N817,C231,80,6,9,3199
820249,0,C8163,N820,C706,80,6,9,3199
820249,0,C8163,N823,C231,80,6,9,3199
820249,0,C8163,N826,C231,80,6,9,3199
820249,0,C8163,N827,C706,80,6,9,3199
820249,0,C8163,N958,C706,80,6,10,4699
820249,0,C8163,N960,C231,80,6,9,3199
820249,0,C8163,N967,C706,80,6,9,3199
820249,0,C8163,N968,C706,80,6,9,3199
820249,0,C8163,N973,C231,80,6,9,3199
820249,0,C8163,N977,C706,80,6,9,3199
820249,0,C9804,N1021,C706,80,6,9,3195
820249,0,C9804,N11767,C231,80,6,9,3195
820249,0,C9804,N11865,C231,80,6,9,3195
820249,0,C9804,N12062,C231,80,6,9,3195
820249,0,C9804,N13136,C706,80,6,29,15572
820249,0,C9804,N13146,C231,80,6,9,3195
820249,0,C9804,N13211,C231,80,6,9,3195
820249,0,C9804,N13213,C706,80,6,14,6128
820249,0,C9804,N3695,C231,80,6,9,3195
820249,0,C9804,N875,C706,80,6,9,3195
820249,0,C9804,N987,C231,80,6,9,3195
820249,1,C13300,N2716,C5721,445,6,5,1030
820249,1,C14122,N14089,C231,80,6,8,2811
820249,1,C20363,N9531,C5720,445,6,20,6210
820249,1,C231,80,C14122,N14089,6,5,2148
820249,1,C8163,N974,C706,80,6,9,3199
820249,10,C18135,N7900,C1707,N732,6,6,1219
820249,11,C20363,N4223,C585,445,6,12,3399
820249,12,C528,445,C18656,N15661,6,9,1653
820249,16,C7889,N7600,C1685,N732,6,9,3010
820249,23,C3173,445,C6955,N23276,6,119,32069
820249,27,C754,445,C8163,N6817,6,396,554467
820249,27,C8163,N6817,C754,445,6,223,15409
820249,29,C9804,N547,C706,80,6,85,56360
820249,36,C15445,137,C4174,137,17,4,312
820249,36,C4174,137,C15445,137,17,4,360
820249,38,C231,445,C8163,N6844,6,3285,4797186
820249,38,C8163,N6844,C231,445,6,1758,100724
820249,44,C5347,N9067,C5720,445,6,28,3867
820249,44,C5720,445,C5347,N9067,6,25,1989
820249,59,C5721,445,C8655,N6739,6,10,1086
820249,59,C8655,N6739,C5721,445,6,11,1488
820249,6,C1707,N732,C18135,N7900,6,4,2757
820249,60,C11053,N5202,C5720,445,6,26,2639
820249,60,C19154,N5723,C585,445,6,14,1453
820249,60,C2588,N1,C9303,N5411,6,3,138
